# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 5.819949133313145201e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 5.990598614084092360e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 6.160490405262416397e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 6.361186810386437740e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 6.581628521699145473e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 6.811671295375713864e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 7.071834234526377938e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 7.344141955713101577e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 7.634073498343392494e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 7.936335249728650176e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 8.265749821849319168e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 8.608020615236550155e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 8.958059191203542049e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 9.320399591286762653e-02
5.000000000000000000e+00 8.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 9.676388274897058939e-02
